"No.","Name","Price","Quantity"
296,"บวบเหลี่ยม","18-24","กิโลกรัม"
297,"กระเทียมไทย มัดจุก","100-110","กิโลกรัม"
298,"ต้นหอมญี่ปุ่น","90-100","กิโลกรัม"
299,"แตงกวาไทย ขนาดเล็ก","18-25","กิโลกรัม"
300,"กระเทียมไทย – เบอร์ใหญ่","100-110","กิโลกรัม"
301,"แตงกวาอ่อน","18-25","กิโลกรัม"
302,"กระเทียมจีน – เบอร์ใหญ่","70-80","กิโลกรัม"
303,"เห็ดหอมสด ขนาดกลาง","160-170","กิโลกรัม"
304,"มะละกอดิบ คละขนาด","10-20","กิโลกรัม"
305,"มะขามเปียกแกะเม็ด (ไม่มีก้าน)","80-100","กิโลกรัม"
306,"เห็ดหอมสด ขนาดเล็ก","160-170","กิโลกรัม"
307,"เห็ดหอมสด","160-180","กิโลกรัม"
308,"ถั่วฝักยาว","20-30","กิโลกรัม"
309,"มะละกอดิบ","10-22","กิโลกรัม"
310,"กะหล่ำปลี (แต่งผล)","15-25","กิโลกรัม"
311,"เห็ดหอมสด ขนาดใหญ่","170-180","กิโลกรัม"
312,"เผือกหอม – เบอร์เล็ก","40-43","กิโลกรัม"
313,"เผือกหอม – เบอร์ใหญ่","60-65","กิโลกรัม"
314,"ผักชีลาว","40-60","กิโลกรัม"
315,"ข้าวโพดข้าวเหนียว – เบอร์ใหญ่","16-20","กิโลกรัม"
316,"ถั่วลิสงดิบ","50-65","กิโลกรัม"
317,"รากผักชี ล้าง ตัดแต่ง","100-130","กิโลกรัม"
318,"กวางตุ้ง","10-14","กิโลกรัม"
319,"ผักชีฝรั่ง","70-80","กิโลกรัม"
320,"ข้าวโพดหวาน – เบอร์กลาง","10-12","กิโลกรัม"
321,"มะนาวเบอร์ 400 /กระสอบ","1100-1300","กระสอบ"
322,"มะเขือเทศราชินี","50-80","กิโลกรัม"
323,"ข้าวโพดหวาน – เบอร์เล็ก","8-10","กิโลกรัม"
324,"มะเขือเทศราชินี / มะเขือเทศเชอร์รี่ สีส้มแดงอ่อน คละขนาด","50-70","กิโลกรัม"
